lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84820878483457,2025,Hutson-Guhle,MTL,pairing,5on5,5,4414.0,6.0,0.53,0.46,0.5,31.7,2.69,1.92,8.05,1.05,16.79,12.5,2.67,2.77,2.74,30.0,13.0,11.0,54.0,3.0,2.0,0.0,4.0,0.0,13.0,21.0,27.0,40.0,10.0,20.0,39.0,52.0,11.0,18.0,33.0,8.0,2.0,0.98,1.09,0.61,2.0,1.0,0.0,56.13,43.0,44.72,7.0,0.4,0.4,0.4,2.69,2.75,2.74,31.97,2.4,1.77,8.39,1.09,16.95,12.4,2.26,2.33,2.19,29.0,14.0,21.0,64.0,4.0,3.0,1.0,6.0,0.0,18.0,12.0,25.0,39.0,9.0,20.0,30.0,46.0,8.0,19.0,33.0,7.0,3.0,0.92,0.71,0.77,3.0,1.0,0.0,62.56,43.0,41.7,10.0,0.36,0.55,0.55,2.22,2.14,2.1
84808398481524,2025,Dahlin-Byram,BUF,pairing,5on5,5,840.0,21.0,0.7,0.84,0.78,15.78,1.31,1.1,3.45,0.45,8.54,6.13,1.3,1.32,1.3,13.0,8.0,10.0,31.0,1.0,1.0,0.0,5.0,0.0,6.0,8.0,12.0,20.0,1.0,2.0,4.0,8.0,0.0,2.0,14.0,7.0,0.0,0.43,0.88,0.0,1.0,0.0,0.0,31.04,21.0,21.05,0.0,0.23,0.18,0.18,1.37,1.36,1.35,4.82,0.56,0.29,1.12,0.17,2.23,1.64,0.53,0.56,0.54,2.0,4.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,6.0,3.0,6.0,5.0,5.0,1.0,4.0,3.0,2.0,1.0,0.09,0.22,0.25,0.0,0.0,0.0,5.59,6.0,5.66,2.0,0.06,0.25,0.25,0.37,0.36,0.36
84816068482105,2025,Sanderson-Spence,OTT,pairing,5on5,3,1039.0,19.0,0.78,0.72,0.79,16.52,0.75,0.96,5.5,0.59,8.98,6.22,0.73,0.78,0.76,11.0,12.0,5.0,28.0,1.0,0.0,0.0,2.0,0.0,11.0,9.0,10.0,22.0,1.0,2.0,17.0,9.0,1.0,5.0,21.0,2.0,0.0,0.49,0.26,0.0,1.0,0.0,0.0,28.11,23.0,23.11,3.0,0.2,0.0,0.0,0.95,0.98,0.96,4.12,0.21,0.23,1.11,0.13,2.54,1.79,0.21,0.21,0.2,4.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,3.0,6.0,6.0,13.0,0.0,4.0,6.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,10.84,6.0,5.96,3.0,0.05,0.0,0.0,0.26,0.25,0.25
84800368481581,2025,Heiskanen-Harley,DAL,pairing,5on5,6,2046.0,29.0,0.6,0.71,0.64,18.18,1.34,1.14,5.29,0.62,9.74,6.87,1.3,1.31,1.27,14.0,11.0,15.0,40.0,0.0,2.0,0.0,5.0,0.0,10.0,8.0,14.0,25.0,2.0,4.0,24.0,11.0,5.0,3.0,20.0,3.0,2.0,0.52,0.29,0.53,0.0,0.0,0.0,39.48,25.0,24.87,2.0,0.25,0.53,0.53,1.06,1.06,1.04,10.23,0.9,0.73,2.71,0.35,5.44,3.87,0.87,0.87,0.84,8.0,6.0,2.0,16.0,2.0,1.0,1.0,1.0,0.0,4.0,6.0,6.0,12.0,4.0,8.0,20.0,22.0,3.0,7.0,9.0,4.0,1.0,0.26,0.38,0.25,1.0,0.0,1.0,16.56,14.0,14.42,5.0,0.16,0.25,0.25,0.8,0.78,0.78
848161884827758484984,2025,Kapanen-Newhook-Demidov,MTL,line,5on5,2,806.0,7.0,0.31,0.43,0.38,4.38,0.35,0.27,1.07,0.15,2.46,1.71,0.35,0.33,0.33,5.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,6.0,4.0,8.0,8.0,11.0,1.0,5.0,5.0,1.0,0.0,0.21,0.14,0.0,0.0,0.0,0.0,9.64,6.0,5.77,1.0,0.06,0.0,0.0,0.41,0.38,0.38,6.88,0.77,0.51,1.78,0.27,3.66,3.0,0.74,0.79,0.76,5.0,5.0,3.0,13.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,5.0,10.0,0.0,0.0,2.0,12.0,0.0,6.0,7.0,2.0,1.0,0.25,0.25,0.27,0.0,0.0,0.0,13.3,10.0,10.17,2.0,0.11,0.32,0.32,0.56,0.58,0.58
84769068482100,2025,Gostisbehere-Nikishin,CAR,pairing,5on5,4,2981.0,12.0,0.62,0.55,0.56,33.28,3.52,2.28,9.06,1.11,17.04,11.99,3.27,3.59,3.34,23.0,22.0,15.0,60.0,2.0,7.0,0.0,7.0,0.0,17.0,12.0,21.0,43.0,3.0,6.0,25.0,38.0,7.0,16.0,32.0,9.0,4.0,1.14,1.05,1.33,1.0,1.0,0.0,61.72,45.0,46.26,6.0,0.48,1.66,1.66,2.35,2.39,2.31,26.27,2.15,1.62,7.41,0.96,13.43,10.43,1.91,2.13,1.9,24.0,12.0,13.0,49.0,1.0,4.0,0.0,2.0,0.0,17.0,12.0,23.0,35.0,5.0,10.0,24.0,42.0,6.0,24.0,30.0,3.0,3.0,0.78,0.32,1.05,1.0,0.0,0.0,48.22,36.0,35.51,15.0,0.35,1.07,1.07,1.42,1.44,1.42
847167584758108482475,2025,Rust-Crosby-Chinakhov,PIT,line,5on5,2,998.0,5.0,0.48,0.54,0.56,5.66,0.2,0.36,1.54,0.24,3.95,2.71,0.2,0.19,0.19,5.0,4.0,5.0,14.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,5.0,9.0,1.0,2.0,8.0,6.0,1.0,3.0,9.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,13.47,9.0,8.69,0.0,0.08,0.0,0.0,0.28,0.26,0.26,4.54,0.22,0.29,1.16,0.16,2.99,2.19,0.21,0.23,0.23,3.0,4.0,5.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,7.0,2.0,4.0,8.0,20.0,3.0,4.0,7.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,12.38,7.0,7.21,1.0,0.06,0.0,0.0,0.28,0.29,0.29
847575484775018480448,2025,Kelly-Nelson-Nichushkin,COL,line,5on5,3,1202.0,11.0,0.62,0.55,0.58,13.8,1.08,0.84,3.95,0.45,7.33,5.34,1.07,1.05,1.04,10.0,9.0,10.0,29.0,0.0,1.0,0.0,3.0,1.0,7.0,7.0,10.0,19.0,3.0,6.0,14.0,12.0,0.0,4.0,15.0,2.0,2.0,0.31,0.24,0.53,0.0,0.0,0.0,28.83,19.0,18.78,2.0,0.17,0.3,0.3,0.95,0.94,0.93,10.26,0.68,0.53,2.6,0.32,5.6,4.28,0.67,0.7,0.69,9.0,5.0,10.0,24.0,0.0,1.0,0.0,3.0,0.0,4.0,6.0,9.0,14.0,1.0,2.0,13.0,13.0,0.0,6.0,12.0,0.0,2.0,0.24,0.0,0.43,0.0,0.0,0.0,24.45,14.0,14.24,3.0,0.11,0.23,0.23,0.56,0.58,0.57
847522084774468481477,2025,Foligno-Mccarron-Sturm,MIN,line,5on5,2,715.0,10.0,0.47,0.55,0.5,6.88,0.7,0.36,1.84,0.21,3.55,2.33,0.61,0.67,0.58,6.0,3.0,3.0,12.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,5.0,8.0,0.0,0.0,6.0,11.0,0.0,5.0,7.0,1.0,1.0,0.1,0.16,0.44,0.0,0.0,1.0,11.33,9.0,8.47,2.0,0.07,0.61,0.61,0.17,0.16,0.16,6.94,0.78,0.46,1.76,0.21,3.36,2.42,0.74,0.83,0.79,7.0,2.0,1.0,10.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,6.0,8.0,1.0,2.0,1.0,5.0,0.0,2.0,7.0,1.0,1.0,0.27,0.09,0.42,1.0,0.0,0.0,10.78,9.0,9.64,0.0,0.1,0.42,0.42,0.45,0.49,0.48
847842084793518482740,2025,Steel-Johnston-Rantanen,DAL,line,5on5,3,833.0,21.0,0.61,0.46,0.47,7.03,0.97,0.38,1.81,0.21,3.2,2.43,0.95,0.91,0.89,8.0,1.0,2.0,11.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,8.0,9.0,2.0,4.0,7.0,6.0,1.0,2.0,7.0,1.0,1.0,0.29,0.15,0.53,0.0,0.0,0.0,10.14,9.0,8.3,2.0,0.08,0.53,0.53,0.52,0.47,0.47,7.1,0.61,0.38,1.58,0.27,3.58,3.58,0.57,0.7,0.65,6.0,4.0,3.0,13.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,8.0,0.0,0.0,7.0,12.0,1.0,4.0,8.0,1.0,1.0,0.2,0.12,0.3,1.0,0.0,1.0,15.32,10.0,11.47,2.0,0.08,0.3,0.3,0.39,0.45,0.44
848007484815238482737,2025,Texier-Dach-Bolduc,MTL,line,5on5,3,1358.0,9.0,0.59,0.47,0.45,11.56,1.24,0.74,2.64,0.38,5.83,4.16,1.22,1.22,1.2,11.0,4.0,4.0,19.0,6.0,2.0,1.0,1.0,0.0,3.0,3.0,5.0,9.0,5.0,10.0,14.0,21.0,4.0,4.0,9.0,5.0,1.0,0.25,0.75,0.24,3.0,2.0,1.0,19.1,15.0,14.99,1.0,0.15,0.42,0.42,0.97,0.96,0.95,12.96,0.86,0.75,3.28,0.41,7.48,5.21,0.85,0.86,0.85,12.0,6.0,3.0,21.0,0.0,1.0,0.0,2.0,0.0,8.0,7.0,12.0,18.0,3.0,6.0,11.0,10.0,4.0,6.0,15.0,3.0,0.0,0.5,0.37,0.0,0.0,0.0,0.0,20.5,18.0,17.64,3.0,0.15,0.11,0.11,0.91,0.91,0.9
848001584815338484142,2025,Barkey-Zegras-Tippett,PHI,line,5on5,5,1034.0,29.0,0.62,0.58,0.57,12.39,1.0,0.88,3.03,0.39,6.75,4.95,0.97,1.02,0.99,8.0,9.0,5.0,22.0,2.0,1.0,0.0,1.0,0.0,8.0,5.0,6.0,15.0,0.0,0.0,3.0,12.0,0.0,5.0,13.0,3.0,1.0,0.35,0.36,0.29,1.0,1.0,0.0,21.87,17.0,16.97,1.0,0.18,0.29,0.29,0.89,0.9,0.89,9.55,0.62,0.58,2.35,0.34,5.27,3.84,0.62,0.64,0.64,5.0,8.0,3.0,16.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,5.0,13.0,2.0,2.0,9.0,9.0,1.0,5.0,11.0,2.0,0.0,0.39,0.24,0.0,0.0,0.0,0.0,16.71,13.0,13.68,1.0,0.12,0.0,0.0,0.74,0.77,0.77
84773468479410,2025,Sergachev-Weegar,UTA,pairing,5on5,5,4604.0,7.0,0.47,0.5,0.51,35.73,2.82,2.19,8.88,1.25,19.99,14.88,2.68,2.89,2.74,31.0,19.0,22.0,72.0,9.0,3.0,1.0,3.0,0.0,21.0,14.0,22.0,41.0,10.0,20.0,62.0,63.0,10.0,28.0,36.0,12.0,2.0,0.96,1.38,0.48,5.0,4.0,0.0,72.81,50.0,50.71,14.0,0.45,0.65,0.65,2.62,2.66,2.61,35.0,3.12,2.29,8.34,1.19,18.59,14.48,2.97,3.09,2.95,29.0,19.0,23.0,71.0,5.0,3.0,2.0,6.0,0.0,22.0,12.0,24.0,43.0,4.0,10.0,39.0,60.0,9.0,29.0,35.0,9.0,4.0,1.01,0.98,1.12,1.0,1.0,3.0,70.08,48.0,47.66,15.0,0.48,0.68,0.68,2.93,2.92,2.89
848007484816188484984,2025,Texier-Newhook-Demidov,MTL,line,5on5,2,1060.0,5.0,0.53,0.33,0.39,6.44,0.4,0.36,1.81,0.22,3.59,2.63,0.4,0.43,0.42,5.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,9.0,2.0,4.0,8.0,21.0,2.0,6.0,6.0,3.0,0.0,0.13,0.27,0.0,0.0,0.0,0.0,10.46,9.0,9.41,4.0,0.08,0.0,0.0,0.48,0.51,0.5,10.18,0.35,0.48,3.01,0.34,5.81,4.01,0.35,0.34,0.34,7.0,7.0,6.0,20.0,0.0,0.0,0.0,1.0,0.0,7.0,6.0,7.0,14.0,2.0,4.0,8.0,8.0,1.0,3.0,13.0,1.0,0.0,0.27,0.09,0.0,0.0,0.0,0.0,19.4,14.0,13.69,1.0,0.1,0.0,0.0,0.45,0.43,0.43
